Name;ID;Bundesland;2020;2021
Salzlandkreis, LK;150890;Sachsen-Anhalt;0,12;0,39
Schaumburg, LK;032570;Niedersachsen;0,34;0,88
Schleswig-Flensburg, LK;010590;Schleswig-Holstein;0,40;0,97
Schmalkalden-Meiningen, LK;160660;Thüringen;0,23;0,62
Schwäbisch Hall, LK;081270;Baden-Württemberg;0,51;1,12
Schwalm-Eder-Kreis, LK;066340;Hessen;0,34;0,92
Schwandorf, LK;093760;Bayern;0,34;0,79
Schwarzwald-Baar-Kreis, LK;083260;Baden-Württemberg;0,45;1,21
Schweinfurt, LK;096780;Bayern;0,55;1,04
Segeberg, LK;010600;Schleswig-Holstein;0,50;1,25
Siegen-Wittgenstein, LK;059700;Nordrhein-Westfalen;0,37;1,11
Sigmaringen, LK;084370;Baden-Württemberg;0,34;0,86
Soest, LK;059740;Nordrhein-Westfalen;0,49;1,31
Sömmerda, LK;160680;Thüringen;0,21;0,52
Sonneberg, LK;160720;Thüringen;0,22;0,54
Spree-Neiße, LK;120710;Brandenburg;0,22;0,46
Stade, LK;033590;Niedersachsen;0,38;0,95
Städteregion Aachen;053340;Nordrhein-Westfalen;0,56;1,37
Starnberg, LK;091880;Bayern;1,10;2,14
Steinburg, LK;010610;Schleswig-Holstein;0,32;0,80
Steinfurt, LK;055660;Nordrhein-Westfalen;0,36;1,06
Stendal, LK;150900;Sachsen-Anhalt;0,16;0,49
Stormarn, LK;010620;Schleswig-Holstein;0,52;1,38
Straubing-Bogen, LK;092780;Bayern;0,33;0,73
St. Wendel, LK;100460;Saarland;0,22;0,72
Südliche Weinstraße, LK;073370;Rheinland-Pfalz;0,37;0,98
Südwestpfalz, LK;073400;Rheinland-Pfalz;0,22;0,69
Teltow-Fläming, LK;120720;Brandenburg;0,36;0,86
Tirschenreuth, LK;093770;Bayern;0,24;0,68
Traunstein, LK;091890;Bayern;0,58;1,17
Trier-Saarburg, LK;072350;Rheinland-Pfalz;0,36;0,93
Tübingen, LK;084160;Baden-Württemberg;0,61;1,41
Tuttlingen, LK;083270;Baden-Württemberg;0,48;1,27
Uckermark, LK;120730;Brandenburg;0,22;0,50
Uelzen, LK;033600;Niedersachsen;0,33;1,01
Unna, LK;059780;Nordrhein-Westfalen;0,39;1,05
Unstrut-Hainich-Kreis, LK;160640;Thüringen;0,28;0,75
Unterallgäu, LK;097780;Bayern;0,37;0,81
Vechta, LK;034600;Niedersachsen;0,32;0,99
Verden, LK;033610;Niedersachsen;0,31;0,86
Viersen, LK;051660;Nordrhein-Westfalen;0,38;1,03
Vogelsbergkreis, LK;065350;Hessen;0,25;0,72
Vogtlandkreis, LK;145230;Sachsen;0,19;0,54
Vorpommern-Greifswald, LK;130750;Mecklenburg-Vorpommern;0,17;0,70
Vorpommern-Rügen, LK;130730;Mecklenburg-Vorpommern;0,23;0,55
Vulkaneifel, LK;072330;Rheinland-Pfalz;0,27;0,86
Waldeck-Frankenberg, LK;066350;Hessen;0,31;0,88
Waldshut, LK;083370;Baden-Württemberg;0,56;1,23
Warendorf, LK;055700;Nordrhein-Westfalen;0,36;1,09
Wartburgkreis, LK;160630;Thüringen;0,21;0,55
Weilheim-Schongau, LK;091900;Bayern;0,57;1,20
Weimarer Land, LK;160710;Thüringen;0,29;0,65
Weißenburg-Gunzenhausen, LK;095770;Bayern;0,49;1,16
Werra-Meißner-Kreis, LK;066360;Hessen;0,25;0,73
Wesel, LK;051700;Nordrhein-Westfalen;0,36;1,01
Wesermarsch, LK;034610;Niedersachsen;0,27;0,62
Westerwaldkreis, LK;071430;Rheinland-Pfalz;0,35;0,99
Wetteraukreis, LK;064400;Hessen;0,53;1,18
Wittenberg, LK;150910;Sachsen-Anhalt;0,18;0,39
Wittmund, LK;034620;Niedersachsen;0,21;0,53
Wolfenbüttel, LK;031580;Niedersachsen;0,34;0,92
Wunsiedel im Fichtelgebirge, LK;094790;Bayern;0,33;0,83
Würzburg, LK;096790;Bayern;0,57;1,28
Zollernalbkreis, LK;084170;Baden-Württemberg;0,42;1,06
Zwickau, LK;145240;Sachsen;0,26;0,77
