Name;ID;Bundesland;2020;2021
Tirschenreuth, LK;093770;Bayern;2,61;3,11
Traunstein, LK;091890;Bayern;1,71;1,83
Trier-Saarburg, LK;072350;Rheinland-Pfalz;2,83;3,18
Tübingen, LK;084160;Baden-Württemberg;0,47;0,52
Tuttlingen, LK;083270;Baden-Württemberg;1,20;1,29
Uckermark, LK;120730;Brandenburg;14,64;15,84
Uelzen, LK;033600;Niedersachsen;4,91;5,47
Unna, LK;059780;Nordrhein-Westfalen;0,59;0,62
Unstrut-Hainich-Kreis, LK;160640;Thüringen;3,71;4,08
Unterallgäu, LK;097780;Bayern;2,76;2,82
Vechta, LK;034600;Niedersachsen;2,89;2,99
Verden, LK;033610;Niedersachsen;2,14;2,26
Viersen, LK;051660;Nordrhein-Westfalen;0,78;0,83
Vogelsbergkreis, LK;065350;Hessen;6,18;6,34
Vogtlandkreis, LK;145230;Sachsen;0,67;0,72
Vorpommern-Greifswald, LK;130750;Mecklenburg-Vorpommern;5,65;5,85
Vorpommern-Rügen, LK;130730;Mecklenburg-Vorpommern;3,89;4,00
Vulkaneifel, LK;072330;Rheinland-Pfalz;4,10;4,15
Waldeck-Frankenberg, LK;066350;Hessen;2,68;2,79
Waldshut, LK;083370;Baden-Württemberg;2,07;2,13
Warendorf, LK;055700;Nordrhein-Westfalen;2,16;2,22
Wartburgkreis, LK;160630;Thüringen;1,73;1,21
Weilheim-Schongau, LK;091900;Bayern;1,63;1,70
Weimarer Land, LK;160710;Thüringen;0,93;1,10
Weißenburg-Gunzenhausen, LK;095770;Bayern;3,96;4,44
Werra-Meißner-Kreis, LK;066360;Hessen;2,05;2,27
Wesel, LK;051700;Nordrhein-Westfalen;0,72;0,77
Wesermarsch, LK;034610;Niedersachsen;5,60;5,68
Westerwaldkreis, LK;071430;Rheinland-Pfalz;1,58;1,68
Wetteraukreis, LK;064400;Hessen;0,48;0,53
Wittenberg, LK;150910;Sachsen-Anhalt;4,09;4,33
Wittmund, LK;034620;Niedersachsen;7,47;7,51
Wolfenbüttel, LK;031580;Niedersachsen;2,17;2,21
Wunsiedel im Fichtelgebirge, LK;094790;Bayern;1,97;2,03
Würzburg, LK;096790;Bayern;2,45;2,59
Zollernalbkreis, LK;084170;Baden-Württemberg;0,85;0,91
Zwickau, LK;145240;Sachsen;0,86;0,95
