Strom aus erneuerbaren Quellen
Landkreise

Kommune;GKZ;ARS;Bundesland;"2020
Strom aus erneuerbaren Quellen (kW je Einwohner:in)";"2021
Strom aus erneuerbaren Quellen (kW je Einwohner:in)"
Weilheim-Schongau, LK;09190000;091900000000;Bayern;1,63;1,70
Weimarer Land, LK;16071000;160710000000;Thüringen;0,93;1,10
Weißenburg-Gunzenhausen, LK;09577000;095770000000;Bayern;3,96;4,44
Werra-Meißner-Kreis, LK;06636000;066360000000;Hessen;2,05;2,27
Wesel, LK;05170000;051700000000;Nordrhein-Westfalen;0,72;0,77
Wesermarsch, LK;03461000;034610000000;Niedersachsen;5,60;5,68
Westerwaldkreis, LK;07143000;071430000000;Rheinland-Pfalz;1,58;1,68
Wetteraukreis, LK;06440000;064400000000;Hessen;0,48;0,53
Wittenberg, LK;15091000;150910000000;Sachsen-Anhalt;4,09;4,33
Wittmund, LK;03462000;034620000000;Niedersachsen;7,47;7,51
Wolfenbüttel, LK;03158000;031580000000;Niedersachsen;2,17;2,21
Wunsiedel im Fichtelgebirge, LK;09479000;094790000000;Bayern;1,97;2,03
Würzburg, LK;09679000;096790000000;Bayern;2,45;2,59
Zollernalbkreis, LK;08417000;084170000000;Baden-Württemberg;0,85;0,91
Zwickau, LK;14524000;145240000000;Sachsen;0,86;0,95

"k.A. = keine Angaben bei fehlender Verfügbarkeit, aufgrund von
Gebietsstandsänderungen bzw. aus methodischen und inhaltlichen Gründen;
weitere Detailinformationen finden Sie auf der Seite Methodik."
Quelle: Bundesnetzagentur,  Statistische Ämter der Länder
"Datenlizenz Deutschland - Namensnennung - Version 2.0
https://www.govdata.de/dl-de/by-2-0"

Quellenangabe bei Verwendung der Daten:
"Bertelsmann Stiftung
www.wegweiser-kommune.de
https://www.wegweiser-kommune.de"

Die Indikatorenerläuterungen finden Sie hier:
https://www.wegweiser-kommune.de/data-api/rest/indicator/export/strom-aus-erneuerbaren-quellen.pdf
